round,model,name,content,seed,tokens,token_logprobs,token_ids,index
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,b,Kiwi,43,"['Ki', 'wi', '<|eot_id|>']","[-0.21289062, 0.0, -4.25]","[73672, 17043, 128009]",19
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,a,Wallaby.,43,"['Wall', 'aby', '.', '<|eot_id|>']","[-1.2734375, -1.66893e-05, -0.014160156, 0.0]","[33697, 6243, 13, 128009]",20
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,b,Dingo.,43,"['D', 'ingo', '.', '<|eot_id|>']","[-2.25, -0.91015625, -0.038085938, 0.0]","[35, 29008, 13, 128009]",21
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,a,Toucan.,43,"['T', 'ou', 'can', '.', '<|eot_id|>']","[-1.3046875, -0.025756836, 0.0, -0.0019302368, 0.0]","[51, 283, 4919, 13, 128009]",22
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,b,Chameleon.,43,"['Ch', 'ameleon', '.', '<|eot_id|>']","[-0.9609375, -0.5546875, -0.008605957, 0.0]","[1163, 97911, 13, 128009]",23
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,a,Gecko.,43,"['Ge', 'cko', '.', '<|eot_id|>']","[-1.546875, -3.1471252e-05, -0.005218506, 0.0]","[9688, 32563, 13, 128009]",24
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,b,Iguana.,43,"['I', 'gu', 'ana', '.', '<|eot_id|>']","[-1.1796875, -0.0013504028, 0.0, -0.005218506, 0.0]","[40, 8890, 3444, 13, 128009]",25
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,a,Crocodile.,43,"['Cro', 'codile', '.', '<|eot_id|>']","[-2.15625, -2.3841858e-07, -0.00026130676, 0.0]","[96141, 83774, 13, 128009]",26
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,b,Alligator.,43,"['All', 'igator', '.', '<|eot_id|>']","[-1.46875, 0.0, -0.0015029907, 0.0]","[2460, 58182, 13, 128009]",27
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,a,Komodo.,43,"['Kom', 'odo', '.', '<|eot_id|>']","[-0.546875, 0.0, -0.006713867, 0.0]","[83143, 6132, 13, 128009]",28
1,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,b,Narwhal.,43,"['N', 'ar', 'wh', 'al', '.']","[-0.90625, -1.7166138e-05, -1.7881393e-06, 0.0, -0.0040893555]","[45, 277, 1336, 278, 13]",29
